Designator,Manufacturer,Part,Number,Quantity
U4,L7805CV,1,,
"RELAY1, RELAY2",HLS8L-DC5V-S-C,2,,
J10,320110031,1,,
"CHANNEL1, CHANNEL2",GS009S-5.0-03P-11,2,,
"R29, R30, R34, R35, R36, R37",RC0603JR-070RL,6,,
"R3, R18, R22",RC0805JR-07100RL,3,,
"C3, C4, C10, C19, C25, C27, C43",CC0603KRX7R9BB104,7,,
C29,CC0805KRX7R9BB104,1,,
"C6, C8, C12",CC0603JRNPO9BN101,3,,
"R2, R31, R32, R33",RC0603FR-0710KL,4,,
"R42, R43",RC0603JR-0710RL,4,,
"C21, C20, C24, C26, C28",CC0805KKX5R8BB106,5,,
X2,306010037,1,,
"R4, R5, R6, R14, R15, R17, R19, R16",RC0603JR-071KL,8,,
D4,1N5819,1,,
C7,CC0603KRX7R8BB105,1,,
"C1, C2",CC0603JRNPO9BN220,2,,
"R10, R11, R12, R13",RC0603JR-073K9L,4,,
C23,CC0603KRX7R9BB333,1,,
L5,LQG15HS4N7S02,1,,
R1,RC0603JR-0747KL,1,,
CN1,F185-1106A1BSYC1,1,,
"C17, C18",CC0402JRNPO9BN100,2,,
X4,FC-135,1,,
ANT2,INPAQ;ACD-5036-A3-CC-S,1,,
"D5,D6",B5819W,2,,
STATUS,19-217-BHC-ZL1M2RY-3T,1,,
"C5, C13",302030003,2,,
U6,CJT1117-3.3,1,,
BAT1,BS-12-B3AA003,1,,
J2,320120002,1,,
U5,Quectel;L70-M39,1,,
"D2, D3",1N4148,2,,
D1,SS54B,1,,
U3,MAX2659ELT,1,,
U1,MCP2515T-I/SO,1,,
U2,MCP2551-I/SN,1,,
U8,PCF85063TP/1Z,1,,
"INT, INT2, INT4, INT5, POWER, RX, TX",19-217-R6C-AL1M2VY-3T,7,,
U7,TXB0108PW,1,,
"Q1, Q2",S9013,2,,
